Gender,Age,Field,Year,Residence,CGPA,StudyHours,AssignmentsPerMonth,SelfRating,UsesAI,PrimaryTool,Frequency,AIHours,TimeBefore,TimeAfter,ProductivityImprove,QualityImprove,ConceptHelp,GradeImpact,PercentImprove,Dependency,ThinkingReduction,RegulationSupport,Satisfaction
3,18,1,3,1,8.28,19,7,2,1,1,1,7.9,4.1,2.9,3,5,3,4,12,5,3,5,5
2,20,2,2,2,8.65,32,8,3,1,4,1,5.6,5,3.5,5,3,4,5,6,4,2,2,3
3,19,3,1,1,7.84,23,5,2,0,0,0,0,5.1,5.1,2,3,2,3,0,2,3,3,1
1,21,4,3,3,8.14,18,9,5,1,2,3,10.4,6.3,4.8,4,4,3,5,6,4,3,4,3
1,19,6,3,3,8.08,33,7,5,1,5,4,5.6,7,5.7,3,3,3,3,20,3,4,2,5
3,23,1,3,3,8,32,8,3,1,3,4,3.6,4,1.6,3,5,3,5,13,4,2,4,5
2,18,1,3,2,8.55,18,8,4,1,2,1,2.9,5.5,4.4,4,5,3,3,9,5,5,4,4
2,22,4,1,1,7.51,14,8,3,1,3,1,7.9,4.7,3.3,3,3,3,5,7,4,3,5,3
1,21,4,2,1,7.81,18,8,4,1,4,3,6.2,5.4,2.9,5,4,3,3,8,3,5,3,3
1,21,5,1,1,8.8,24,4,5,1,5,1,11.7,6.8,4.1,4,3,4,4,10,3,4,5,3
3,23,5,4,1,8.43,28,4,2,1,2,1,7.8,5.6,3.1,4,5,5,3,6,2,3,5,3
1,22,2,1,3,7.03,22,4,2,1,5,3,11.3,4.6,2.2,3,5,5,4,12,5,2,3,4
3,20,2,3,1,7.56,31,9,4,0,0,0,0,5.1,5.1,1,2,3,3,0,2,2,3,3
2,18,1,2,2,7.44,13,4,4,1,2,3,4,5.9,4.4,3,3,5,4,20,4,3,5,4
3,23,4,1,1,7.69,33,4,5,1,2,1,10.3,5.7,4.4,4,3,4,3,9,3,3,3,3
1,19,4,1,1,8.56,19,5,4,1,3,4,10,6.6,4,5,3,4,3,13,5,3,3,3
1,23,2,4,2,8.06,13,4,4,1,1,3,5.5,5.5,3.1,3,4,3,5,15,4,5,2,5
2,22,2,3,1,7.7,33,7,3,1,1,2,5.6,4.2,1.9,5,3,5,4,15,4,3,5,4
3,21,6,2,3,8.16,35,5,4,1,4,1,5,4.6,2,4,5,3,4,15,5,2,3,5
3,20,2,2,1,7.09,32,9,2,1,2,4,8.1,6.3,4.4,4,4,4,5,11,3,5,3,3
1,23,5,4,1,8.86,29,7,5,1,1,4,3.3,5.4,3.3,4,5,5,5,15,5,5,4,5
1,23,3,4,3,7.79,14,7,5,1,4,1,9.1,4.7,3,3,4,5,3,7,3,2,3,3
2,21,5,1,3,7.58,19,6,4,1,1,3,5,5.2,2.4,5,5,5,4,18,5,5,3,3
2,19,5,1,2,8.62,24,6,4,1,1,1,8.4,4.4,2.5,4,3,4,4,6,4,2,5,4
1,23,5,1,2,7.76,30,5,4,1,1,1,9.5,6.8,5.4,3,3,4,4,5,2,3,2,5
1,20,1,1,2,7.75,23,8,4,1,4,4,11.4,4.6,2.4,4,5,5,3,12,2,2,5,3
2,18,4,3,3,8.05,31,8,5,0,0,0,0,5.4,5.4,1,2,1,3,0,2,5,4,3
2,19,1,3,2,7.83,29,4,3,1,4,4,5.4,5.5,3.8,4,4,4,4,20,4,5,5,5
3,19,6,4,3,7.98,25,9,5,1,4,1,2.9,4.7,2.3,4,4,5,4,14,4,4,4,5
2,19,1,2,2,8.18,21,4,2,1,5,2,3.9,6.2,4.6,3,4,3,5,14,3,2,4,4
3,19,6,4,1,8.38,13,6,5,0,0,0,0,5.7,5.7,2,2,2,3,0,1,2,2,2
2,21,1,1,1,8.92,26,6,4,1,5,3,2.9,4.7,2.6,5,3,5,4,18,5,2,2,4
1,23,2,3,3,7.3,14,9,3,1,2,2,7.5,4.5,2.7,3,4,5,4,20,5,5,2,4
3,19,6,2,2,7.44,26,4,4,0,0,0,0,4.2,4.2,1,2,3,3,0,2,5,4,3
3,22,4,4,1,8.46,27,8,3,1,4,3,8,4.1,2.6,5,4,5,5,5,3,5,5,3
1,21,3,4,2,7.32,20,6,2,1,1,2,5.3,6.1,4.5,5,3,4,5,17,4,5,5,3
1,19,5,3,3,8.26,21,7,5,0,0,0,0,5.9,5.9,1,1,2,3,0,1,2,2,3
3,22,2,2,2,7.67,28,9,5,1,5,4,2.9,7,4.2,5,3,4,5,19,4,3,5,5
3,19,4,2,3,7.95,16,7,5,1,2,1,4.8,6.4,4.6,4,5,4,5,13,5,5,4,5
1,23,2,4,1,8.08,24,9,3,0,0,0,0,5.2,5.2,2,3,2,3,0,2,5,2,3
1,22,5,3,1,8.44,25,9,2,0,0,0,0,5.3,5.3,3,2,1,3,0,1,5,4,3
2,22,6,4,3,7.37,19,9,2,1,3,4,11.5,5.9,3.1,3,5,3,5,20,4,5,3,3
3,20,1,1,2,8.09,30,9,3,0,0,0,0,4.9,4.9,2,2,1,3,0,2,3,2,1
3,21,5,2,2,8.3,33,4,5,0,0,0,0,4.4,4.4,2,3,2,3,0,2,4,3,2
1,21,3,3,3,7.26,15,5,4,0,0,0,0,6.1,6.1,2,2,1,3,0,2,4,4,2
1,23,4,3,1,8.57,33,9,3,1,1,4,10.3,6.7,4.1,4,3,5,4,12,4,2,2,3
2,21,1,3,3,8.54,35,6,2,1,3,3,9.5,4.5,3.2,4,3,4,4,16,4,3,3,4
3,23,6,4,3,8.41,27,4,4,1,4,1,4.6,4.4,2.7,5,4,3,4,13,3,3,2,5
3,21,6,3,3,8.36,33,9,3,1,2,1,11.5,4.9,2.9,5,3,4,4,8,4,5,2,4
2,22,4,3,1,9.01,18,4,2,1,2,4,6.4,4.7,3,5,4,3,4,16,4,3,2,4
1,20,2,2,3,8.35,29,6,2,1,5,2,7.9,6.4,4.9,5,3,4,5,9,3,3,2,3
2,19,5,3,1,8.61,28,5,4,1,1,2,9.4,5.6,3.1,4,5,5,4,20,5,5,2,3
1,21,4,4,3,7.99,24,8,5,1,4,1,11,5,3.7,5,5,5,4,9,4,2,2,5
3,23,5,2,2,7.25,33,7,2,1,2,4,5.4,5.4,3.6,4,5,4,4,8,3,5,2,4
3,23,3,2,3,7.97,23,4,5,1,5,3,8.7,5.2,2.5,5,3,4,5,18,4,3,2,5
2,22,3,1,2,8.03,17,5,3,1,4,1,8.1,6,3.6,5,4,4,3,5,2,2,2,4
3,22,2,4,2,8.26,20,7,5,1,2,3,5.1,5,2.1,3,3,5,5,7,2,5,4,3
1,22,1,3,2,7.09,22,4,3,1,5,4,7.3,4.9,3.5,4,3,3,3,6,4,3,5,4
3,23,2,3,1,8.72,24,4,5,1,1,4,2.2,6.8,4.1,5,5,4,4,18,2,4,2,4
2,18,2,4,3,8.56,23,6,3,1,1,4,10.7,6.2,4.8,5,3,5,3,10,3,3,2,5
1,20,2,2,3,7.03,32,6,5,1,1,2,11.5,5.9,4,5,5,5,4,19,4,4,4,5
3,18,3,1,2,8.16,26,8,5,1,1,1,5.7,4.9,2.6,5,4,4,4,7,2,3,2,5
2,18,3,1,3,7.53,32,9,5,1,1,2,9.1,7,5,4,4,4,4,10,2,4,4,4
3,23,5,2,2,8.58,16,9,2,1,2,3,5.1,6,3.7,3,4,5,4,9,4,5,4,4
1,20,3,2,1,7.97,31,5,3,1,4,2,4.3,4.4,3.2,5,5,5,4,8,4,3,5,3
1,21,3,2,2,8.51,26,6,5,1,4,2,7.3,4.9,2.3,3,4,5,5,20,5,3,3,5
3,19,3,1,3,8.77,14,5,2,1,3,1,9.1,5.5,4.3,4,4,5,5,7,5,5,2,3
2,22,3,2,2,6.58,16,5,5,0,0,0,0,5.1,5.1,1,2,1,3,0,2,3,5,3
2,22,1,1,1,8.09,27,8,3,1,2,4,3.1,4.9,3.3,5,5,4,4,6,2,3,4,3
2,18,5,3,1,7.12,20,9,4,1,2,1,7.2,5.1,2.2,4,3,5,4,5,4,3,2,4
3,23,3,2,1,6.89,21,5,2,1,3,2,10.3,6.1,3.1,3,3,5,4,20,2,4,4,4
